seat_code,state,seat,mp
P203,Sarawak,Lubok Antu,Jugah Anak Muyang @ Tambat
P204,Sarawak,Betong,Robert Lawson Chuat
P205,Sarawak,Saratok,Ali Anak Biju
P206,Sarawak,Tanjong Manis,Yusuf bin Abd Wahab 
P207,Sarawak,Igan,Ahmad Johnie bin Zawawi
P208,Sarawak,Sarikei,Wong Ling Biu
P209,Sarawak,Julau,Larry Soon @ Larry Sng Wei Shien
P210,Sarawak,Kanowit,Aaron Ago Dagang
P211,Sarawak,Lanang,Alice Lau Kiong Yieng
P212,Sarawak,Sibu,Oscar Ling Chai Yew
P213,Sarawak,Mukah,Hanifah Hajar Taib
P214,Sarawak,Selangau,Baru Bian
P215,Sarawak,Kapit,Alexander Nanta Linggi
P216,Sarawak,Hulu Rajang,Wilson Ugak Anak Kumbong
P217,Sarawak,Bintulu,Tiong King Sing
P218,Sarawak,Sibuti,Lukanisman bin Awang Sauni
P219,Sarawak,Miri,Michael Teo Yu Keng
P220,Sarawak,Baram,Anyi Ngau
P221,Sarawak,Limbang,Hasbi Bin Habibollah
P222,Sarawak,Lawas,Henry Sum Agong
